,Date,Close,Open,High,Low,Volume,Change
253,2014-10-09,2.83,2.78,2.83,2.76,4400.0,0.04044117647058809
254,2014-10-10,2.72,2.8,2.8,2.72,32600.0,0.026415094339622858
255,2014-10-13,2.65,2.68,2.68,2.65,102700.0,0.03921568627450989
256,2014-10-14,2.55,2.61,2.62,2.55,21400.0,0.020000000000000018
257,2014-10-15,2.5,2.6,2.6,2.49,73700.0,0.028806584362139898
258,2014-10-16,2.43,2.44,2.44,2.38,111400.0,0.012500000000000178
259,2014-10-17,2.4,2.43,2.45,2.39,316300.0,-0.008264462809917328
260,2014-10-20,2.42,2.44,2.44,2.4,85600.0,0.0
261,2014-10-21,2.42,2.42,2.42,2.42,7500.0,0.0
262,2014-10-23,2.42,2.42,2.43,2.41,66300.0,-0.0546875
263,2014-10-24,2.56,2.46,2.56,2.46,51500.0,-0.04477611940298509
264,2014-10-27,2.68,2.56,2.68,2.56,29000.0,0.026819923371647514
265,2014-10-28,2.61,2.61,2.61,2.58,33000.0,-0.0076045627376425395
266,2014-10-29,2.63,2.63,2.63,2.62,29100.0,0.015444015444015413
267,2014-10-30,2.59,2.59,2.63,2.58,23600.0,-0.0038461538461539435
268,2014-10-31,2.6,2.6,2.6,2.6,27000.0,-0.054545454545454564
269,2014-11-03,2.75,2.6,2.75,2.6,1400.0,0.037735849056603765
270,2014-11-04,2.65,2.7,2.7,2.65,150000.0,0.03515625
271,2014-11-05,2.56,2.6,2.6,2.56,28000.0,0.007874015748031482
272,2014-11-06,2.54,2.56,2.58,2.54,19000.0,0.024193548387096753
273,2014-11-07,2.48,2.53,2.53,2.48,23000.0,0.0
274,2014-11-10,2.48,2.48,2.48,2.47,39000.0,0.05531914893617018
275,2014-11-11,2.35,2.47,2.47,2.34,213200.0,0.049107142857142794
276,2014-11-12,2.24,2.35,2.35,2.2,190000.0,0.0980392156862746
277,2014-11-13,2.04,2.2,2.2,2.0,479000.0,0.020000000000000018
278,2014-11-14,2.0,2.03,2.03,1.98,941600.0,-0.004975124378109319
279,2014-11-17,2.01,2.01,2.02,2.0,54600.0,-0.009852216748768461
280,2014-11-18,2.03,2.01,2.04,2.01,67300.0,0.004950495049504955
281,2014-11-19,2.02,2.04,2.04,2.0,205700.0,0.0
282,2014-11-20,2.02,2.01,2.02,2.01,115000.0,0.0
